dte,name
1996-12-25,Christmas Day
1996-12-26,Boxing Day
1997-01-01,New Year's Day
1997-02-14,Valentine's Day
1997-03-01,St. David's Day
1997-03-09,Mother's day
1997-03-28,Good Friday
1997-03-31,Easter Monday
1997-04-23,St. George's Day
1997-05-05,Early May Bank Holiday (May Day)
1997-05-26,Late May Bank Holiday
1997-06-15,Father's Day
1997-08-25,August Bank Holiday
1997-10-31,Halloween
1997-11-05,Guy Fawkes Day
1997-12-25,Christmas Day
1997-12-26,Boxing Day
1998-01-01,New Year's Day
1998-02-14,Valentine's Day
1998-03-01,St. David's Day
1998-03-22,Mother's day
1998-04-10,Good Friday
1998-04-13,Easter Monday
1998-04-23,St. George's Day
1998-05-04,Early May Bank Holiday (May Day)
1998-05-25,Late May Bank Holiday
1998-06-21,Father's Day
1998-08-31,August Bank Holiday
1998-10-31,Halloween
1998-11-05,Guy Fawkes Day
1998-12-25,Christmas Day
1998-12-26,Boxing Day
1998-12-28,Substitute day for Boxing Day
1999-01-01,New Year's Day
1999-02-14,Valentine's Day
1999-03-01,St. David's Day
1999-03-14,Mother's day
1999-04-02,Good Friday
1999-04-05,Easter Monday
1999-04-23,St. George's Day
1999-05-03,Early May Bank Holiday (May Day)
1999-05-31,Late May Bank Holiday
1999-06-20,Father's Day
1999-08-30,August Bank Holiday
1999-10-31,Halloween
1999-11-05,Guy Fawkes Day
1999-12-25,Christmas Day
1999-12-26,Boxing Day
1999-12-27,Substitute day for Christmas Day
1999-12-28,Substitute day for Boxing Day
1999-12-31,The Millennium celebrations bank holiday
2000-01-03,New Year's Day
2000-02-14,Valentine's Day
2000-03-01,St. David's Day
2000-04-02,Mother's day
2000-04-21,Good Friday
2000-04-23,St. George's Day
2000-04-24,Easter Monday
2000-05-01,Early May Bank Holiday (May Day)
2000-05-29,Late May Bank Holiday
2000-06-18,Father's Day
2000-08-28,August Bank Holiday
2000-10-31,Halloween
2000-11-05,Guy Fawkes Day
2000-12-25,Christmas Day
2000-12-26,Boxing Day
2001-01-01,New Year's Day
2001-02-14,Valentine's Day
2001-03-01,St. David's Day
2001-03-25,Mother's day
2001-04-13,Good Friday
2001-04-16,Easter Monday
2001-04-23,St. George's Day
2001-05-07,Early May Bank Holiday (May Day)
2001-05-28,Late May Bank Holiday
2001-06-17,Father's Day
2001-08-27,August Bank Holiday
2001-10-31,Halloween
2001-11-05,Guy Fawkes Day
2001-12-25,Christmas Day
2001-12-26,Boxing Day
2002-01-01,New Year's Day
2002-02-14,Valentine's Day
2002-03-01,St. David's Day
2002-03-10,Mother's day
2002-03-29,Good Friday
2002-04-01,Easter Monday
2002-04-23,St. George's Day
2002-05-06,Early May Bank Holiday (May Day)
2002-06-03,Golden Jubilee of Elizabeth II
2002-06-04,Late May Bank Holiday
2002-06-16,Father's Day
2002-08-26,August Bank Holiday
2002-10-31,Halloween
2002-11-05,Guy Fawkes Day
2002-12-25,Christmas Day
2002-12-26,Boxing Day
2003-01-01,New Year's Day
2003-02-14,Valentine's Day
2003-03-01,St. David's Day
2003-03-30,Mother's day
2003-04-18,Good Friday
2003-04-21,Easter Monday
2003-04-23,St. George's Day
2003-05-05,Early May Bank Holiday (May Day)
2003-05-26,Late May Bank Holiday
2003-06-15,Father's Day
2003-08-25,August Bank Holiday
2003-10-31,Halloween
2003-11-05,Guy Fawkes Day
2003-12-25,Christmas Day
2003-12-26,Boxing Day
2004-01-01,New Year's Day
2004-02-14,Valentine's Day
2004-03-01,St. David's Day
2004-03-21,Mother's day
2004-04-09,Good Friday
2004-04-12,Easter Monday
2004-04-23,St. George's Day
2004-05-03,Early May Bank Holiday (May Day)
2004-05-31,Late May Bank Holiday
2004-06-20,Father's Day
2004-08-30,August Bank Holiday
2004-10-31,Halloween
2004-11-05,Guy Fawkes Day
2004-12-25,Christmas Day
